freq,lo,pos,neg
0,0,0,0
0.1,0,0,0
0.2,0,0,0
0.3,0,0,0
0.4,0,0,0
0.5,0,0,0
0.6,0,0,0
0.7,0,0,0
0.8,0,0,0
0.9,0,0,0
1,1,1,1
1.1,1,1,1
1.2,1,1,1
1.3,1,1,1
1.4,1,1,1
1.5,1,1,1
1.6,1,1,1
1.7,1,1,1
1.8,1,1,1
1.9,1,1,1
2,1,1,1
2.1,1,1,1
2.2,1,1,1
2.3,1,1,1
2.4,1,1,1
2.5,1,1,1
2.6,1,1,1
2.7,1,1,1
2.8,1,1,1
2.9,1,1,1
3,2,2,2
3.1,2,2,2
3.2,2,2,2
3.3,2,2,2
3.4,2,2,2
3.5,2,2,2
3.6,2,2,2
3.7,2,2,2
3.8,2,2,2
3.9,2,2,2
4,2,2,2
4.1,2,2,2
4.2,2,2,2
4.3,2,2,2
4.4,2,2,2
4.5,2,2,2
4.6,2,2,2
4.7,2,2,2
4.8,2,2,2
4.9,2,2,2
5,3,3,3
5.1,3,3,3
5.2,3,3,3
5.3,3,3,3
5.4,3,3,3
5.5,3,3,3
5.6,3,3,3
5.7,3,3,3
5.8,3,3,3
5.9,3,3,3
6,3,3,3
6.1,3,3,3
6.2,3,3,3
6.3,3,3,3
6.4,3,3,3
6.5,3,3,3
6.6,3,3,3
6.7,3,3,3
6.8,3,3,3
6.9,3,3,3
7,4,4,4
7.1,4,4,4
7.2,4,4,4
7.3,4,4,4
7.4,4,4,4
7.5,4,4,4
7.6,4,4,4
7.7,4,4,4
7.8,4,4,4
7.9,4,4,4
8,4,4,4
8.1,4,4,4
8.2,4,4,4
8.3,4,4,4
8.4,4,4,4
8.5,4,4,4
8.6,4,4,4
8.7,4,4,4
8.8,4,4,4
8.9,4,4,4
9,5,5,5
9.1,5,5,5
9.2,5,5,5
9.3,5,5,5
9.4,5,5,5
9.5,5,5,5
9.6,5,5,5
9.7,5,5,5
9.8,5,5,5
9.9,5,5,5
10,5,5,5
10.1,5,5,5
10.2,5,5,5
10.3,5,5,5
10.4,5,5,5
10.5,5,5,5
10.6,5,5,5
10.7,5,5,5
10.8,5,5,5
10.9,5,5,5
11,6,6,6
11.1,6,6,6
11.2,6,6,6
11.3,6,6,6
11.4,6,6,6
11.5,6,6,6
11.6,6,6,6
11.7,6,6,6
11.8,6,6,6
11.9,6,6,6
12,6,6,6
12.1,6,6,6
12.2,6,6,6
12.3,6,6,6
12.4,6,6,6
12.5,6,7,5
12.6,6,7,5
12.7,6,7,5
12.8,6,7,5
12.9,6,7,5
13,6,7,5
13.1,6,7,5
13.2,6,7,5
